,forecast,lower_ci_95,lower_ci_99,upper_ci_95,upper_ci_99
2031-12-01,440.86409961853303,423.0621250413962,423.0621250413962,458.66607419566986,458.66607419566986
2032-01-01,441.3924351485315,423.41242700931605,423.41242700931605,459.37244328774693,459.37244328774693
2032-02-01,441.8365722391783,423.6802761816812,423.6802761816812,459.99286829667534,459.99286829667534
2032-03-01,442.2024696340334,423.8715809384815,423.8715809384815,460.53335832958527,460.53335832958527
2032-04-01,442.2522629634517,423.748428922639,423.748428922639,460.7560970042644,460.7560970042644
2032-05-01,441.40435447629216,422.72917661767,422.72917661767,460.0795323349143,460.0795323349143
2032-06-01,439.7047054660129,420.85974163234306,420.85974163234306,458.54966929968276,458.54966929968276
2032-07-01,438.3465962827971,419.33336258281315,419.33336258281315,457.3598299827811,457.3598299827811
2032-08-01,438.5574969836167,419.37746962329726,419.37746962329726,457.7375243439362,457.7375243439362
2032-09-01,440.09541824851885,420.7261199060179,420.7261199060179,459.4647165910198,459.4647165910198
2032-10-01,441.5971898556146,422.0381282766143,422.0381282766143,461.1562514346149,461.1562514346149
2032-11-01,442.55104169204463,422.80404036471816,422.80404036471816,462.2980430193711,462.2980430193711
2032-12-01,443.24206575051886,423.30889658473535,423.30889658473535,463.1752349163024,463.1752349163024
2033-01-01,443.7704012805173,423.65278699447305,423.65278699447305,463.8880155665616,463.8880155665616
2033-02-01,444.2145383711641,423.914154726209,423.914154726209,464.5149220161192,464.5149220161192
2033-03-01,444.5804357660192,424.098913661872,424.098913661872,465.0619578701664,465.0619578701664
2033-04-01,444.6302290954375,423.9691565368074,423.9691565368074,465.29130165406764,465.29130165406764
2033-05-01,443.782320608278,422.94324455286494,422.94324455286494,464.62139666369103,464.62139666369103
2033-06-01,442.08267159799874,421.06709969491897,421.06709969491897,463.0982435010785,463.0982435010785
2033-07-01,440.72456241478295,419.5339646417103,419.5339646417103,461.9151601878556,461.9151601878556
2033-08-01,440.93546311560254,419.57127332242555,419.57127332242555,462.29965290877954,462.29965290877954
2033-09-01,442.4733843805047,420.9139225569146,420.9139225569146,464.03284620409477,464.03284620409477
2033-10-01,443.97515598760043,422.219936082587,422.219936082587,465.73037589261384,465.73037589261384
2033-11-01,444.92900782403046,422.9797756709884,422.9797756709884,466.87823997707255,466.87823997707255
2033-12-01,445.6200318825047,423.47848742190337,423.47848742190337,467.761576343106,467.761576343106
2034-01-01,446.14836741250315,423.81616666798556,423.81616666798556,468.48056815702074,468.48056815702074
2034-02-01,446.59250450314994,424.07126144051955,424.07126144051955,469.11374756578033,469.11374756578033
2034-03-01,446.95840189800504,424.24969017587676,424.24969017587676,469.6671136201333,469.6671136201333
2034-04-01,447.00819522742336,424.1135498475235,424.1135498475235,469.90284060732324,469.90284060732324
2034-05-01,446.1602867402638,423.0812056046548,423.0812056046548,469.2393678758728,469.2393678758728
2034-06-01,444.46063772998457,421.19858311186067,421.19858311186067,467.72269234810847,467.72269234810847
2034-07-01,443.1025285467688,419.6589284809678,419.6589284809678,466.54612861256976,466.54612861256976
2034-08-01,443.3134292475884,419.68967884669826,419.68967884669826,466.9371796484785,466.9371796484785
2034-09-01,444.8513505124905,421.0264865849356,421.0264865849356,468.67621444004544,468.67621444004544
2034-10-01,446.35312211958626,422.3266655087009,422.3266655087009,470.3795787304716,470.3795787304716
2034-11-01,447.3069739560163,423.0806020984104,423.0806020984104,471.5333458136222,471.5333458136222
2034-12-01,447.9979980144905,423.5733471573904,423.5733471573904,472.42264887159064,472.42264887159064
2035-01-01,448.526333544489,423.9050004043139,423.9050004043139,473.14766668466405,473.14766668466405
2035-02-01,448.97047063513577,424.15401396405304,424.15401396405304,473.7869273062185,473.7869273062185
2035-03-01,449.33636802999087,424.3263100969118,424.3263100969118,474.3464259630699,474.3464259630699
2035-04-01,449.3861613594092,424.18398935134184,424.18398935134184,474.58833336747654,474.58833336747654
2035-05-01,448.53825287224964,423.14542022143144,423.14542022143144,473.93108552306785,473.93108552306785
2035-06-01,446.8386038619704,421.2565315037621,421.2565315037621,472.4206762201787,472.4206762201787
2035-07-01,445.4804946787546,419.7105722449459,419.7105722449459,471.2504171125633,471.2504171125633
2035-08-01,445.6913953795742,419.7349823316259,419.7349823316259,471.64780842752253,471.64780842752253
2035-09-01,447.22931664447634,421.06609903404257,421.06609903404257,473.3925342549101,473.3925342549101
2035-10-01,448.7310882515721,422.3605941597274,422.3605941597274,475.1015823434168,475.1015823434168
2035-11-01,449.6849400880021,423.10878608549245,423.10878608549245,476.2610940905118,476.2610940905118
2035-12-01,450.37596414647635,423.59572956045736,423.59572956045736,477.15619873249534,477.15619873249534
2036-01-01,450.9042996764748,423.9215279989895,423.9215279989895,477.8870713539601,477.8870713539601
2036-02-01,451.3484367671216,424.16463699011473,424.16463699011473,478.53223654412847,478.53223654412847
2036-03-01,451.7143341619767,424.3309820437006,424.3309820437006,479.0976862802528,479.0976862802528
2036-04-01,451.764127491395,424.1826667586747,424.1826667586747,479.3455882241153,479.3455882241153
2036-05-01,450.9162190042355,423.13806249471,423.13806249471,478.6943755137609,478.6943755137609
2036-06-01,449.2165699939562,421.24310074209757,421.24310074209757,477.1900392458149,477.1900392458149
2036-07-01,447.85846081074044,419.6910330812313,419.6910330812313,476.0258885402496,476.0258885402496
2036-08-01,448.06936151156003,419.70930178358316,419.70930178358316,476.4294212395369,476.4294212395369
2036-09-01,449.60728277646217,421.0348689103719,421.0348689103719,478.1796966425524,478.1796966425524
2036-10-01,451.1090543835579,422.32382182319185,422.32382182319185,479.894286943924,479.894286943924
2036-11-01,452.06290621998795,423.06641689845856,423.06641689845856,481.05939554151735,481.05939554151735
2036-12-01,452.7539302784622,423.5477122351623,423.5477122351623,481.96014832176206,481.96014832176206
2037-01-01,453.28226580846064,423.86781439742833,423.86781439742833,482.69671721949294,482.69671721949294
2037-02-01,453.7264028991074,424.10518193792507,424.10518193792507,483.3476238602898,483.3476238602898
2037-03-01,454.0923002939625,424.265743156901,424.265743156901,483.91885743102404,483.91885743102404
2037-04-01,454.14209362338084,424.1116042822195,424.1116042822195,484.1725829645422,484.1725829645422
2037-05-01,453.2941851362213,423.06113915192105,423.06113915192105,483.52723112052155,483.52723112052155
2037-06-01,451.59453612594206,421.16028159411707,421.16028159411707,482.02879065776705,482.02879065776705
2037-07-01,450.23642694272627,419.6022853957181,419.6022853957181,480.8705684897344,480.8705684897344
2037-08-01,450.44732764354586,419.61459491193744,419.61459491193744,481.2800603751543,481.2800603751543
2037-09-01,451.985248908448,420.93474532640766,420.93474532640766,483.03575249048833,483.03575249048833
2037-10-01,453.48702051554375,422.2182888765264,422.2182888765264,484.7557521545611,484.7557521545611
2037-11-01,454.4408723519738,422.955425175104,422.955425175104,485.9263195288436,485.9263195288436
2037-12-01,455.131896410448,423.43121519470697,423.43121519470697,486.83257762618905,486.83257762618905
2038-01-01,455.66023194044647,423.7457682107108,423.7457682107108,487.5746956701821,487.5746956701821
2038-02-01,456.10436903109326,423.9775453354462,423.9775453354462,488.2311927267403,488.2311927267403
2038-03-01,456.47026642594835,424.1324772871441,424.1324772871441,488.8080555647526,488.8080555647526
2038-04-01,456.5200597553667,423.97267257912256,423.97267257912256,489.0674469316108,489.0674469316108
2038-05-01,455.67215126820713,422.91650721080964,422.91650721080964,488.4277953256046,488.4277953256046
2038-06-01,453.9725022579279,421.0099170554688,421.0099170554688,486.93508746038697,486.93508746038697
2038-07-01,452.6143930747121,419.44615783617945,419.44615783617945,485.78262831324474,485.78262831324474
2038-08-01,452.8252937755317,419.45267574206105,419.45267574206105,486.19791180900233,486.19791180900233
2038-09-01,454.36321504043383,420.767534250495,420.767534250495,487.9588958303727,487.9588958303727
2038-10-01,455.8649866475296,422.0457931438004,422.0457931438004,489.6841801512588,489.6841801512588
2038-11-01,456.8188384839596,422.777599805764,422.777599805764,490.8600771621552,490.8600771621552
2038-12-01,457.50986254243384,423.2480176964673,423.2480176964673,491.7717073884004,491.7717073884004
2039-01-01,458.0381980724323,423.55715844552594,423.55715844552594,492.51923769933865,492.51923769933865
2039-02-01,458.4823351630791,423.7834853945999,423.7834853945999,493.1811849315583,493.1811849315583
2039-03-01,458.8482325579342,423.932931374088,423.932931374088,493.76353374178035,493.76353374178035
2039-04-01,458.8980258873525,423.7676068995025,423.7676068995025,494.0284448752025,494.0284448752025
2039-05-01,458.05011740019296,422.70588986916465,422.70588986916465,493.39434493122127,493.39434493122127
2039-06-01,456.3504683899137,420.79371795812966,420.79371795812966,491.90721882169777,491.90721882169777
2039-07-01,454.9923592066979,419.2243485999318,419.2243485999318,490.7603698134641,490.7603698134641
2039-08-01,455.2032599075175,419.225229608168,419.225229608168,491.18129020686706,491.18129020686706
2039-09-01,456.74118117241966,420.53491354404156,420.53491354404156,492.94744880079776,492.94744880079776
2039-10-01,458.2429527795154,421.80800495928605,421.80800495928605,494.67790059974476,494.67790059974476
2039-11-01,459.19680461594544,422.5346029670002,422.5346029670002,495.8590062648907,495.8590062648907
2039-12-01,459.88782867441967,422.9997731979784,422.9997731979784,496.7758841508609,496.7758841508609
2040-01-01,460.4161642044181,423.3036293419475,423.3036293419475,497.52869906688875,497.52869906688875
2040-02-01,460.8603012950649,423.5246366966788,423.5246366966788,498.19596589345105,498.19596589345105
2040-03-01,461.22619868992,423.6687299508227,423.6687299508227,498.7836674290173,498.7836674290173
2040-04-01,461.27599201933833,423.49802138600023,423.49802138600023,499.05396265267643,499.05396265267643
2040-05-01,460.4280835321788,422.43089057982445,422.43089057982445,498.42527648453313,498.42527648453313
2040-06-01,458.72843452189954,420.51327680479204,420.51327680479204,496.94359223900705,496.94359223900705
2040-07-01,457.37032533868376,418.93843901466215,418.93843901466215,495.80221166270536,495.80221166270536
2040-08-01,457.58122603950335,418.9338264703624,418.9338264703624,496.2286256086443,496.2286256086443
2040-09-01,459.1191473044055,420.2384462750746,420.2384462750746,497.9998483337364,497.9998483337364
2040-10-01,460.62091891150124,421.5064804661848,421.5064804661848,499.73535735681764,499.73535735681764
2040-11-01,461.57477074793127,422.2279833663333,422.2279833663333,500.9215581295292,500.9215581295292
2040-12-01,462.2657948064055,422.68802251420965,422.68802251420965,501.84356709860134,501.84356709860134
2041-01-01,462.79413033640395,422.9867134147657,422.9867134147657,502.6015472580422,502.6015472580422
2041-02-01,463.23826742705074,423.20252309360086,423.20252309360086,503.2740117605006,503.2740117605006
2041-03-01,463.60416482190584,423.3413878847199,423.3413878847199,503.8669417590918,503.8669417590918
2041-04-01,463.65395815132416,423.1654216372215,423.1654216372215,504.1424946654268,504.1424946654268
2041-05-01,462.8060496641646,422.09300542261894,422.09300542261894,503.5190939057103,503.5190939057103
